"description","category"
"veterinary services","Health and beauty"
"wine producers","Groceries"
"champagne producers","Groceries"
"agricultural co-operatives","Groceries"
"landscaping and horticultural services","Shopping"
"general contractors  residential and commercial","Other"
"heating, plumbing and air-conditioning contractors","Other"
"electrical contractors","Other"
"masonry, stonework, tile setting, plastering and insulation contractors","Other"
"carpentry contractors","Other"
"roofing, siding and sheet metal work contractors","Other"
"concrete work contractors","Other"
"special trade contractors  not elsewhere classified","Other"
"misc. publishing and printing services","Other"
"typesetting, platemaking and related services","Other"
"speciality cleaning, polishing and sanitation preparations","Other"
"railroads","Transportation"
"local and suburban commuter passenger transportation, including ferries","Transportation"
"passenger railways","Transportation"
"ambulance services","Health and beauty"
"taxi-cabs and limousines","Transportation"
"bus lines","Transportation"
"motor freight carriers and trucking  local and long distance, moving and storage companies and local delivery","Transportation"
"courier services  air and ground and freight forwarders","Transportation"
"public warehousing and storage  farm products, refrigerated goods and household goods","Transportation"
"steamships and cruise lines","Transportation"
"boat rentals and leasing","Transportation"
"marinas, marine service and supplies","Transportation"
"airlines and air carriers","Transportation"
"airports, flying fields and airport terminals","Transportation"
"travel agencies and tour operators","Other"
"tolls and bridge fees","Other"
"transportation services  not elsewhere classified","Transportation"
"telecommunication equipment and telephone sales","Other"
"telecommunication services, including local and long distance calls, credit card calls, calls through use of magnetic stripe reading telephones and faxes","Other"
"monthly summary telephone charges","Other"
"computer network/information services","Other"
"telegraph services","Other"
"wire transfers and money orders","перекази"
"cable and other pay television services","Other"
"utilities  electric, gas, water and sanitary","Utility payments"
"motor vehicle supplies and new parts","Other"
"office and commercial furniture","Shopping"
"construction materials  not elsewhere classified","Other"
"office, photographic, photocopy and microfilm equipment","Other"
"computers, computer peripheral equipment  not elsewhere classified","Other"
"commercial equipment  not elsewhere classified","Other"
"dental/laboratory/medical/ophthalmic hospital equipment and supplies","Health and beauty"
"metal service centres and offices","Other"
"electrical parts and equipment","Other"
"hardware equipment and supplies","Other"
"plumbing and heating equipment and supplies","Other"
"industrial supplies  not elsewhere classified","Other"
"precious stones and metals, watches and jewellery","Shopping"
"durable goods  not elsewhere classified","Other"
"stationery, office supplies and printing and writing paper","Other"
"drugs, drug proprietors","Health and beauty"
"piece goods, notions and other dry goods","Other"
"men’s, women’s and children’s uniforms and commercial clothing","Other"
"commercial footwear","Other"
"chemicals and allied products  not elsewhere classified","Other"
"petroleum and petroleum products","Groceries"
"books, periodicals and newspapers","Other"
"florists’ supplies, nursery stock and flowers","Other"
"paints, varnishes and supplies","Other"
"non-durable goods  not elsewhere classified","Other"
"home supply warehouse outlets","Other"
"lumber and building materials outlets","Other"
"glass, paint and wallpaper shops","Other"
"hardware shops","Other"
"lawn and garden supply outlets, including nurseries","Other"
"mobile home dealers","Other"
"wholesale clubs","Other"
"duty-free shops","Other"
"discount shops","Shopping"
"department stores","Other"
"variety stores","Other"
"misc. general merchandise","Shopping"
"groceries and supermarkets","Groceries"
"freezer and locker meat provisioners","Groceries"
"candy, nut and confectionery shops","Groceries"
"dairies","Groceries"
"bakeries","Groceries"
"misc. food shops  convenience and speciality retail outlets","Groceries"
"car and truck dealers (new and used) sales, services, repairs, parts and leasing","Other"
"car and truck dealers (used only) sales, service, repairs, parts and leasing","Other"
"women’s ready-to-wear shops","Shopping"
"women’s accessory and speciality shops","Shopping"
"children’s and infants’ wear shops","Shopping"
"family clothing shops","Shopping"
"sports and riding apparel shops","Shopping"
"shoe shops","Shopping"
"furriers and fur shops","Shopping"
"men’s and women’s clothing shops","Shopping"
"tailors, seamstresses, mending and alterations","Shopping"
"wig and toupee shops","Shopping"
"misc. apparel and accessory shops","Shopping"
"furniture, home furnishings and equipment shops and manufacturers, except appliances","Other"
"floor covering services","Other"
"drapery, window covering and upholstery shops","Other"
"alcoholic beverage wholesalers","Groceries"
"fireplaces, fireplace screens and accessories shops","Other"
"misc. home furnishing speciality shops","Other"
"household appliance shops","Other"
"electronics shops","Other"
"music shops  musical instruments, pianos and sheet music","Other"
"computer software outlets","Other"
"record shops","Other"
"caterers","Caffe-restaurant"
"eating places and restaurants","Caffe-restaurant"
"drinking places (alcoholic beverages)  bars, taverns, night-clubs, cocktail lounges and discothèques","Caffe-restaurant"
"fast food restaurants","Caffe-restaurant"
"drug stores and pharmacies","Health and beauty"
"package shops  beer, wine and liquor","Groceries"
"used merchandise and second-hand shops","Shopping"
"antique shops  sales, repairs and restoration services","Shopping"
"pawn shops","Other"
"wrecking and salvage yards","Other"
"antique reproduction shops","Shopping"
"bicycle shops  sales and service","Shopping"
"sporting goods shops","Shopping"
"bookshops","Shopping"
"stationery, office and school supply shops","Shopping"
"jewellery, watch, clock and silverware shops","Shopping"
"hobby, toy and game shops","Shopping"
"camera and photographic supply shops","Shopping"
"gift, card, novelty and souvenir shops","Shopping"
"luggage and leather goods shops","Shopping"
"sewing, needlework, fabric and piece goods shops","Shopping"
"glassware and crystal shops","Shopping"
"direct marketing  insurance services","Services"
"telemarketing  travel-related arrangement services","Services"
"door-to-door sales","Services"
"direct marketing  catalogue merchants","Services"
"direct marketing  combination catalogue and retail merchants","Services"
"direct marketing  outbound telemarketing merchants","Services"
"direct marketing  inbound telemarketing merchants","Services"
"direct marketing  continuity/subscription merchants","Services"
"direct marketing/direct marketers  not elsewhere classified","Services"
"artist supply and craft shops","Shopping"
"art dealers and galleries","Shopping"
"stamp and coin shops","Shopping"
"religious goods and shops","Shopping"
"hearing aids  sales, service and supplies","Health and beauty"
"orthopaedic goods and prosthetic devices","Health and beauty"
"typewriter outlets  sales, service and rentals","Shopping"
"fuel dealers  fuel oil, wood, coal and liquefied petroleum","Utility payments"
"florists","Services"
"cigar shops and stands","Shopping"
"newsagents and news-stands","Other"
"pet shops, pet food and supplies","Shopping"
"swimming pools  sales, supplies and services","Entertainment"
"electric razor outlets  sales and service","Shopping"
"tent and awning shops","Shopping"
"misc. and speciality retail outlets","Other"
"financial institutions  manual cash disbursements","Finance"
"financial institutions  automated cash disbursements","Finance"
"financial institutions  merchandise and services","Finance"
"non-financial institutions  foreign currency, money orders (not wire transfer), scrip and travellers’ checks","Finance"
"securities  brokers and dealers","Finance"
"insurance sales, underwriting and premiums","Finance"
"lodging  hotels, motels and resorts","Travel"
"timeshares","Travel"
"sporting and recreational camps","Entertainment"
"trailer parks and camp-sites","Entertainment"
"laundry, cleaning and garment services","Household"
"laundry services  family and commercial","Household"
"dry cleaners","Household"
"carpet and upholstery cleaning","Household"
"photographic studios","Services"
"beauty and barber shops","Health and beauty"
"shoe repair shops, shoe shine parlours and hat cleaning shops","Household"
"funeral services and crematoriums","Services"
"dating and escort services","Services"
"tax preparation services","Services"
"counselling services  debt, marriage and personal","Services"
"buying and shopping services and clubs","Services"
"clothing rentals  costumes, uniforms and formal wear","Household"
"massage parlours","Health and beauty"
"health and beauty spas","Health and beauty"
"misc. personal services  not elsewhere classified","Services"
"advertising services","Services"
"consumer credit reporting agencies","Services"
"debt collection agencies","Services"
"commercial photography, art and graphics","Services"
"quick copy, reproduction and blueprinting services","Services"
"stenographic and secretarial support services","Services"
"exterminating and disinfecting services","Household"
"cleaning, maintenance and janitorial services","Household"
"employment agencies and temporary help services","Services"
"computer programming, data processing and integrated systems design services","Services"
"information retrieval services","Services"
"computer maintenance and repair services  not elsewhere classified","Services"
"management, consulting and public relations services","Services"
"detective agencies, protective agencies and security services, including armoured cars and guard dogs","Services"
"equipment, tool, furniture and appliance rentals and leasing","Household"
"photofinishing laboratories and photo developing","Services"
"business services  not elsewhere classified","Services"
"automobile rentals","Transportation"
"truck and utility trailer rentals","Transportation"
"motor home and recreational vehicle rentals","Transportation"
"local/suburban commuter passenger transportation  railroads, feries, local water transportation.","Transportation"
"parking lots and garages","Transportation"
"automotive body repair shops","Car service"
"tyre retreading and repair shops","Car service"
"automotive paint shops","Car service"
"automotive service shops (non-dealer)","Car service"
"car washes","Car service"
"towing services","Car service"
"electronics repair shops","Services"
"air conditioning and refrigeration repair shops","Services"
"electrical and small appliance repair shops","Services"
"watch, clock and jewellery repair shops","Services"
"furniture reupholstery, repair and refinishing","Services"
"welding services","Services"
"misc. repair shops and related services","Services"
"motion picture and video tape production and distribution","Entertainment"
"motion picture theatres","Entertainment"
"video tape rentals","Entertainment"
"dance halls, studios and schools","Entertainment"
"theatrical producers (except motion pictures) and ticket agencies","Entertainment"
"bands, orchestras and misc. entertainers  not elsewhere classified","Entertainment"
"billiard and pool establishments","Entertainment"
"bowling alleys","Entertainment"
"commercial sports, professional sports clubs, athletic fields and sports promoters","Entertainment"
"tourist attractions and exhibits","Entertainment"
"public golf courses","Entertainment"
"video amusement game supplies","Entertainment"
"video game arcades and establishments","Entertainment"
"betting, including lottery tickets, casino gaming chips, off-track betting and wagers at race tracks","Entertainment"
"amusement parks, circuses, carnivals and fortune tellers","Entertainment"
"membership clubs (sports, recreation, athletic), country clubs and private golf courses","Entertainment"
"aquariums, seaquariums and dolphinariums","Entertainment"
"recreation services  not elsewhere classified","Entertainment"
"doctors and physicians  not elsewhere classified","Health and beauty"
"dentists and orthodontists","Health and beauty"
"osteopaths","Health and beauty"
"chiropractors","Health and beauty"
"optometrists and ophthalmologists","Health and beauty"
"opticians, optical goods and eyeglasses","Health and beauty"
"podiatrists and chiropodists","Health and beauty"
"nursing and personal care facilities","Health and beauty"
"hospitals","Health and beauty"
"medical and dental laboratories","Health and beauty"
"medical services and health practitioners  not elsewhere classified","Health and beauty"
"legal services and attorneys","Services"
"elementary and secondary schools","Education"
"colleges, universities, professional schools and junior colleges","Education"
"correspondence schools","Education"
"business and secretarial schools","Education"
"trade and vocational schools","Education"
"schools and educational services  not elsewhere classified","Education"
"child care services","Services"
"charitable and social service organizations","Services"
"civic, social and fraternal associations","Services"
"political organizations","Services"
"religious organizations","Services"
"automobile associations","Services"
"membership organization  not elsewhere classified","Services"
"testing laboratories (non-medical)","Services"
"architectural, engineering and surveying services","Services"
"accounting, auditing and bookkeeping services","Services"
"professional services  not elsewhere classified","Services"
"court costs, including alimony and child support","Other"
"fines","Other"
"bail and bond payments","Other"
"tax payments","Other"
"government services  not elsewhere classified","Other"
"postal services  government only","Other"
"money orders  wire transfer","Finance"
"fax services","Mobile"
"misc. food stores  convenience stores and specialty markets","Groceries"
"grocery stores","Groceries"
"electric, gas, sanitary and water utilities","Utility payments"
"barber and beauty shops","Health and beauty"
"business services, not elsewhere classified","Services"
"opticians, opticians goods and eyeglasses","Health and beauty"
"money orders – wire transfer","Finance"
"financial institutions – merchandise and services","Finance"
"misc. food stores – convenience stores and specialty markets","Groceries"
"local/suburban commuter passenger transportation – railroads, feries, local water transportation.","Transportation"
"transportation services — not elsewhere classified","Transportation"
"utilities — electric, gas, water and sanitary","Utility payments"
"construction materials — not elsewhere classified","Other"
"сomputers, computer peripheral equipment — not elsewhere classified","Other"
"commercial equipment — not elsewhere classified","Other"
"industrial supplies — not elsewhere classified","Other"
"durable goods — not elsewhere classified","Other"
"chemicals and allied products — not elsewhere classified","Other"
"non-durable goods — not elsewhere classified","Other"
"miscellaneous food shops — convenience and speciality retail outlets","Household"
"miscellaneous automotive, aircraft and farm equipment dealers — not elsewhere classified","Other"
"music shops — musical instruments, pianos and sheet music","Other"
"drinking places (alcoholic beverages) — bars, taverns, night-clubs, cocktail lounges and discothèques","Caffe-restaurant"
"package shops — beer, wine and liquor","Groceries"
"antique shops — sales, repairs and restoration services","Shopping"
"bicycle shops — sales and service","Shopping"
"direct marketing — insurance services","Services"
"telemarketing — travel-related arrangement services","Services"
"direct marketing — catalogue merchants","Services"
"direct marketing — combination catalogue and retail merchants","Services"
"direct marketing — outbound telemarketing merchants","Services"
"direct marketing — inbound telemarketing merchants","Services"
"direct marketing — continuity/subscription merchants","Services"
"direct marketing/direct marketers — not elsewhere classified","Services"
"hearing aids — sales, service and supplies","Health and beauty"
"fuel dealers — fuel oil, wood, coal and liquefied petroleum","Utility payments"
"swimming pools — sales, supplies and services","Entertainment"
"electric razor outlets — sales and service","Shopping"
"financial institutions — manual cash disbursements","Finance"
"financial institutions — automated cash disbursements","Finance"
"financial institutions — merchandise and services","Finance"
"non-financial institutions — foreign currency, money orders (not wire transfer), scrip and travellers’ checks","Finance"
"securities — brokers and dealers","Finance"
"lodging — hotels, motels and resorts","Travel"
"laundry services — family and commercial","Household"
"counselling services — debt, marriage and personal","Services"
"clothing rentals — costumes, uniforms and formal wear","Services"
"miscellaneous personal services — not elsewhere classified","Services"
"computer maintenance and repair services — not elsewhere classified","Services"
"business services — not elsewhere classified","Services"
"bands, orchestras and miscellaneous entertainers — not elsewhere classified","Other"
"recreation services — not elsewhere classified","Entertainment"
"doctors and physicians — not elsewhere classified","Health and beauty"
"medical services and health practitioners — not elsewhere classified","Health and beauty"
"schools and educational services — not elsewhere classified","Education"
"membership organization — not elsewhere classified","Services"
"professional services — not elsewhere classified","Services"
"government services — not elsewhere classified","Other"
"postal services — government only","Other"
"digital goods – games","Entertainment"
